2024-07-16 17:44:01 {'yaw': 3591, 'pitch': 21, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-16 17:44:01 {'x_pos': 0, 'y_pos': 20, 't_pos': -8408, 'x_vel': 0, 'y_vel': 0, 't_vel': -315}
2024-07-16 17:44:01 {'yaw': 3590, 'pitch': 19, 'roll': 35, 'x_acceleration': -1, 'y_acceleration': -5, 'z_acceleration': -3}
2024-07-16 17:44:01 {'x_pos': 0, 'y_pos': 37, 't_pos': -14330, 'x_vel': 2, 'y_vel': 46, 't_vel': -5172}
2024-07-16 17:44:01 {'yaw': 3593, 'pitch': 18, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:44:01 {'x_pos': 0, 'y_pos': 55, 't_pos': -21384, 'x_vel': 2, 'y_vel': 46, 't_vel': -12237}
2024-07-16 17:44:01 {'yaw': 3596, 'pitch': 17, 'roll': 34, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-16 17:44:01 {'x_pos': 1, 'y_pos': 77, 't_pos': -29339, 'x_vel': 2, 'y_vel': 46, 't_vel': -20202}
2024-07-16 17:44:01 {'yaw': 0, 'pitch': 19, 'roll': 33, 'x_acceleration': 2, 'y_acceleration': -2, 'z_acceleration': -16}
2024-07-16 17:44:01 {'x_pos': 1, 'y_pos': 101, 't_pos': 27295, 'x_vel': 2, 'y_vel': 46, 't_vel': -29112}
2024-07-16 17:44:01 {'yaw': 3597, 'pitch': 18, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-16 17:44:01 {'x_pos': 2, 'y_pos': 125, 't_pos': 18841, 'x_vel': 4, 'y_vel': 202, 't_vel': 27997}
2024-07-16 17:44:01 {'yaw': 3587, 'pitch': 18, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -2}
2024-07-16 17:44:01 {'x_pos': 1, 'y_pos': 151, 't_pos': 9532, 'x_vel': 4, 'y_vel': 202, 't_vel': 18682}
2024-07-16 17:44:01 {'yaw': 3582, 'pitch': 16, 'roll': 34, 'x_acceleration': 4, 'y_acceleration': -1, 'z_acceleration': -1}
2024-07-16 17:44:01 {'x_pos': 0, 'y_pos': 179, 't_pos': -409, 'x_vel': 4, 'y_vel': 202, 't_vel': 8737}
2024-07-16 17:44:01 {'yaw': 3582, 'pitch': 18, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 5, 'z_acceleration': 8}
2024-07-16 17:44:01 {'x_pos': 0, 'y_pos': 205, 't_pos': -9765, 'x_vel': 4, 'y_vel': 202, 't_vel': -623}
2024-07-16 17:44:01 {'yaw': 3583, 'pitch': 16, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 1, 'z_acceleration': -3}
2024-07-16 17:44:02 {'x_pos': 0, 'y_pos': 233, 't_pos': -19841, 'x_vel': 4, 'y_vel': 202, 't_vel': -10703}
2024-07-16 17:44:02 {'yaw': 3583, 'pitch': 18, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 6, 'z_acceleration': -12}
2024-07-16 17:44:02 {'x_pos': 0, 'y_pos': 261, 't_pos': -29828, 'x_vel': -4, 'y_vel': 257, 't_vel': -20687}
2024-07-16 17:44:02 {'yaw': 3584, 'pitch': 17, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -13}
2024-07-16 17:44:02 {'x_pos': 0, 'y_pos': 290, 't_pos': 25181, 'x_vel': -4, 'y_vel': 257, 't_vel': -31217}
2024-07-16 17:44:02 {'yaw': 3585, 'pitch': 16, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': -3, 'z_acceleration': -8}
2024-07-16 17:44:02 {'x_pos': 0, 'y_pos': 319, 't_pos': 14834, 'x_vel': -4, 'y_vel': 257, 't_vel': 23969}
2024-07-16 17:44:02 {'yaw': 3586, 'pitch': 18, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-16 17:44:02 {'x_pos': 0, 'y_pos': 347, 't_pos': 4801, 'x_vel': -4, 'y_vel': 257, 't_vel': 13934}
2024-07-16 17:44:02 {'yaw': 3588, 'pitch': 16, 'roll': 33, 'x_acceleration': -6, 'y_acceleration': -1, 'z_acceleration': 9}
2024-07-16 17:44:02 {'x_pos': -1, 'y_pos': 375, 't_pos': -4916, 'x_vel': -4, 'y_vel': 257, 't_vel': 4214}
2024-07-16 17:44:02 {'yaw': 3588, 'pitch': 18, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': 10, 'z_acceleration': 0}
2024-07-16 17:44:02 {'x_pos': -1, 'y_pos': 402, 't_pos': -14859, 'x_vel': -2, 'y_vel': 274, 't_vel': -5729}
2024-07-16 17:44:02 {'yaw': 3590, 'pitch': 16, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-16 17:44:02 {'x_pos': -1, 'y_pos': 432, 't_pos': -25522, 'x_vel': -2, 'y_vel': 274, 't_vel': -16394}
2024-07-16 17:44:02 {'yaw': 3592, 'pitch': 15, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -10}
2024-07-16 17:44:02 {'x_pos': 0, 'y_pos': 457, 't_pos': 30745, 'x_vel': -2, 'y_vel': 274, 't_vel': -25664}
2024-07-16 17:44:02 {'yaw': 3593, 'pitch': 15, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -2, 'z_acceleration': -10}
2024-07-16 17:44:02 {'x_pos': 0, 'y_pos': 484, 't_pos': 20937, 'x_vel': -2, 'y_vel': 274, 't_vel': 30062}
2024-07-16 17:44:02 {'yaw': 3593, 'pitch': 15, 'roll': 32, 'x_acceleration': -2, 'y_acceleration': 1, 'z_acceleration': 9}
2024-07-16 17:44:03 {'x_pos': 1, 'y_pos': 511, 't_pos': 11219, 'x_vel': -2, 'y_vel': 274, 't_vel': 20342}
2024-07-16 17:44:03 {'yaw': 3594, 'pitch': 16, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 4, 'z_acceleration': 0}
2024-07-16 17:44:03 {'x_pos': 3, 'y_pos': 537, 't_pos': 1275, 'x_vel': 7, 'y_vel': 267, 't_vel': 10397}
