2024-07-23 17:20:56 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:56 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:56 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:56 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:56 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:56 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 17:20:57 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:57 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:57 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:57 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:57 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:57 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:58 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:58 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:58 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:58 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:58 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:58 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:58 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:58 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:59 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
