2024-07-07 20:06:38 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 379, 'loadcell': 0}
2024-07-07 20:06:39 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 375, 'loadcell': 0}
2024-07-07 20:06:40 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 346, 'loadcell': 0}
2024-07-07 20:06:41 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 406, 'loadcell': 0}
2024-07-07 20:06:42 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 383, 'loadcell': 0}
2024-07-07 20:06:43 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 380, 'loadcell': 0}
2024-07-07 20:06:44 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 367, 'loadcell': 0}
2024-07-07 20:06:45 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 384, 'loadcell': 0}
2024-07-07 20:06:46 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 378, 'loadcell': 0}
2024-07-07 20:06:47 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 380, 'loadcell': 0}
2024-07-07 20:06:48 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 380, 'loadcell': 0}
2024-07-07 20:06:49 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 384, 'loadcell': 0}
2024-07-07 20:06:50 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 383, 'loadcell': 0}
2024-07-07 20:06:51 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 376, 'loadcell': 0}
2024-07-07 20:06:52 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 385, 'loadcell': 0}
2024-07-07 20:06:53 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 378, 'loadcell': 0}
2024-07-07 20:06:54 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 376, 'loadcell': 0}
2024-07-07 20:06:55 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 382, 'loadcell': 0}
2024-07-07 20:06:56 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 379, 'loadcell': 0}
2024-07-07 20:07:32 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 313, 'loadcell': 0}
2024-07-07 20:07:33 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 316, 'loadcell': 0}
2024-07-07 20:07:34 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 319, 'loadcell': 0}
2024-07-07 20:07:35 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 317, 'loadcell': 0}
2024-07-07 20:07:36 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 318, 'loadcell': 0}
2024-07-07 20:07:37 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 346, 'loadcell': 0}
2024-07-07 20:07:38 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 311, 'loadcell': 0}
2024-07-07 20:07:39 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 315, 'loadcell': 0}
2024-07-07 20:07:40 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 318, 'loadcell': 0}
2024-07-07 20:07:41 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 319, 'loadcell': 0}
2024-07-07 20:07:42 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 313, 'loadcell': 0}
2024-07-07 20:07:43 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 318, 'loadcell': 0}
2024-07-07 20:08:10 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 311, 'loadcell': 0}
2024-07-07 20:08:11 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 305, 'loadcell': 0}
2024-07-07 20:08:12 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 309, 'loadcell': 0}
2024-07-07 20:08:13 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 310, 'loadcell': 0}
2024-07-07 20:08:14 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 305, 'loadcell': 0}
2024-07-07 20:08:15 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 301, 'loadcell': 0}
