2024-07-16 17:22:18 {'x_pos': 996, 'y_pos': 1001, 't_pos': -1085, 'x_vel': 6, 'y_vel': 4, 't_vel': 5972}
2024-07-16 17:22:18 {'yaw': 3588, 'pitch': 20, 'roll': 31, 'x_acceleration': -6, 'y_acceleration': -2, 'z_acceleration': -29}
2024-07-16 17:22:19 {'x_pos': 996, 'y_pos': 1001, 't_pos': -1085, 'x_vel': 6, 'y_vel': 4, 't_vel': 5972}
2024-07-16 17:22:19 {'yaw': 3558, 'pitch': 26, 'roll': 38, 'x_acceleration': 2, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-16 17:22:20 {'x_pos': 996, 'y_pos': 1001, 't_pos': -1085, 'x_vel': 6, 'y_vel': 4, 't_vel': 5972}
2024-07-16 17:22:20 {'yaw': 3551, 'pitch': 21, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:21 {'x_pos': 996, 'y_pos': 1001, 't_pos': -1085, 'x_vel': 6, 'y_vel': 4, 't_vel': 5972}
2024-07-16 17:22:21 {'yaw': 3551, 'pitch': 21, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:22 {'x_pos': 1500, 'y_pos': 1496, 't_pos': 31418, 'x_vel': 0, 'y_vel': -3, 't_vel': 16899}
2024-07-16 17:22:22 {'yaw': 3593, 'pitch': 21, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-16 17:22:23 {'x_pos': 1500, 'y_pos': 1495, 't_pos': -32086, 'x_vel': 0, 'y_vel': 1, 't_vel': 17658}
2024-07-16 17:22:23 {'yaw': 3593, 'pitch': 21, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:24 {'x_pos': 1500, 'y_pos': 1496, 't_pos': -29663, 'x_vel': 0, 'y_vel': -1, 't_vel': 19781}
2024-07-16 17:22:24 {'yaw': 3591, 'pitch': 21, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:25 {'x_pos': 1502, 'y_pos': 1501, 't_pos': -22658, 'x_vel': 2, 'y_vel': 7, 't_vel': 19008}
2024-07-16 17:22:25 {'yaw': 3586, 'pitch': 21, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 6, 'z_acceleration': -6}
2024-07-16 17:22:26 {'x_pos': 1492, 'y_pos': 1495, 't_pos': 3859, 'x_vel': -10, 'y_vel': -4, 't_vel': 29649}
2024-07-16 17:22:26 {'yaw': 20, 'pitch': 20, 'roll': 32, 'x_acceleration': 2, 'y_acceleration': 4, 'z_acceleration': -6}
2024-07-16 17:22:27 {'x_pos': 1498, 'y_pos': 1497, 't_pos': -9217, 'x_vel': 37, 'y_vel': 15, 't_vel': 8857}
2024-07-16 17:22:27 {'yaw': 3595, 'pitch': 21, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:28 {'x_pos': 1498, 'y_pos': 1497, 't_pos': -8812, 'x_vel': 0, 'y_vel': 0, 't_vel': 8969}
2024-07-16 17:22:28 {'yaw': 3595, 'pitch': 21, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:29 {'x_pos': 1498, 'y_pos': 1497, 't_pos': -8812, 'x_vel': 0, 'y_vel': 0, 't_vel': 8969}
2024-07-16 17:22:29 {'yaw': 3595, 'pitch': 21, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
