2024-07-07 20:14:37 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 601, 'loadcell': 0}
2024-07-07 20:14:38 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 601, 'loadcell': 0}
2024-07-07 20:14:39 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 590, 'loadcell': 0}
2024-07-07 20:14:40 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 597, 'loadcell': 0}
2024-07-07 20:14:41 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 596, 'loadcell': 0}
2024-07-07 20:14:42 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 598, 'loadcell': 0}
2024-07-07 20:14:43 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 594, 'loadcell': 0}
2024-07-07 20:14:44 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 596, 'loadcell': 0}
2024-07-07 20:14:45 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 596, 'loadcell': 0}
2024-07-07 20:14:46 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 610, 'loadcell': 0}
2024-07-07 20:14:47 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 594, 'loadcell': 0}
2024-07-07 20:14:48 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 594, 'loadcell': 0}
2024-07-07 20:14:49 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 598, 'loadcell': 0}
2024-07-07 20:14:50 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 600, 'loadcell': 0}
2024-07-07 20:14:51 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 598, 'loadcell': 0}
2024-07-07 20:14:51 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 589, 'loadcell': 0}
2024-07-07 20:14:52 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 589, 'loadcell': 0}
2024-07-07 20:14:53 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 596, 'loadcell': 0}
2024-07-07 20:14:54 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 594, 'loadcell': 0}
2024-07-07 20:14:55 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 596, 'loadcell': 0}
2024-07-07 20:14:56 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 594, 'loadcell': 0}
2024-07-07 20:14:57 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 587, 'loadcell': 0}
2024-07-07 20:14:58 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 596, 'loadcell': 0}
2024-07-07 20:14:59 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 589, 'loadcell': 0}
2024-07-07 20:15:00 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 596, 'loadcell': 0}
