2024-07-07 20:17:37 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 872, 'loadcell': 0}
2024-07-07 20:17:38 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 875, 'loadcell': 0}
2024-07-07 20:17:39 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:17:40 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 882, 'loadcell': 0}
2024-07-07 20:17:41 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 877, 'loadcell': 0}
2024-07-07 20:17:42 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 876, 'loadcell': 0}
2024-07-07 20:17:43 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 882, 'loadcell': 0}
2024-07-07 20:17:44 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:17:45 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 899, 'loadcell': 0}
2024-07-07 20:17:46 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 876, 'loadcell': 0}
2024-07-07 20:17:47 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 883, 'loadcell': 0}
2024-07-07 20:17:48 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 884, 'loadcell': 0}
2024-07-07 20:17:49 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:17:50 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:17:51 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 870, 'loadcell': 0}
2024-07-07 20:17:52 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 884, 'loadcell': 0}
2024-07-07 20:17:53 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 883, 'loadcell': 0}
