2024-07-07 20:45:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:04 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:05 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:06 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:07 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:08 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:09 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:10 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:11 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:12 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:13 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:14 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:15 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:16 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:17 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:18 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:19 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:20 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:21 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:22 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:23 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:24 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
2024-07-07 20:45:25 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1950, 'loadcell': 0}
