2024-07-12 19:29:40 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:40 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:40 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:40 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:40 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:40 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:40 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': -4, 'y_acceleration': -4, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -11}
2024-07-12 19:29:41 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -11}
2024-07-12 19:29:41 {'yaw': 3, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 3, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 5, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 6, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 6, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 8, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -10}
2024-07-12 19:29:41 {'yaw': 8, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -10}
2024-07-12 19:29:41 {'yaw': 10, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 4, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 10, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 5, 'z_acceleration': -10}
2024-07-12 19:29:41 {'yaw': 10, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 5, 'z_acceleration': -10}
2024-07-12 19:29:41 {'yaw': 10, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:29:41 {'yaw': 10, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:29:41 {'yaw': 9, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-12 19:29:41 {'yaw': 8, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 8, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 6, 'pitch': 20, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 6, 'pitch': 20, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 4, 'pitch': 20, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3599, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -1}
2024-07-12 19:29:41 {'yaw': 3599, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -1}
2024-07-12 19:29:41 {'yaw': 3596, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3596, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3594, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3591, 'pitch': 20, 'roll': 34, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 3591, 'pitch': 20, 'roll': 34, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 3588, 'pitch': 20, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:29:41 {'yaw': 3588, 'pitch': 20, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3585, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3583, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:29:41 {'yaw': 3583, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:29:41 {'yaw': 3580, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3580, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 3, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3576, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 3, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3573, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3573, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3570, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3570, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3566, 'pitch': 20, 'roll': 35, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3566, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3563, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3559, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3559, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3555, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3555, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3551, 'pitch': 20, 'roll': 35, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-12 19:29:41 {'yaw': 3551, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 3547, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 3543, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -2}
2024-07-12 19:29:41 {'yaw': 3543, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -2}
2024-07-12 19:29:41 {'yaw': 3539, 'pitch': 20, 'roll': 36, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3535, 'pitch': 21, 'roll': 36, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3535, 'pitch': 21, 'roll': 36, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3531, 'pitch': 21, 'roll': 36, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 3531, 'pitch': 21, 'roll': 36, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 3527, 'pitch': 21, 'roll': 36, 'x_acceleration': -3, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 3527, 'pitch': 21, 'roll': 36, 'x_acceleration': -3, 'y_acceleration': -1, 'z_acceleration': -2}
2024-07-12 19:29:41 {'yaw': 3523, 'pitch': 21, 'roll': 36, 'x_acceleration': -3, 'y_acceleration': -1, 'z_acceleration': -2}
2024-07-12 19:29:41 {'yaw': 3519, 'pitch': 21, 'roll': 36, 'x_acceleration': -2, 'y_acceleration': -2, 'z_acceleration': -10}
2024-07-12 19:29:41 {'yaw': 3519, 'pitch': 21, 'roll': 36, 'x_acceleration': -2, 'y_acceleration': -2, 'z_acceleration': -10}
2024-07-12 19:29:41 {'yaw': 3515, 'pitch': 21, 'roll': 37, 'x_acceleration': -1, 'y_acceleration': -1, 'z_acceleration': -12}
2024-07-12 19:29:41 {'yaw': 3515, 'pitch': 21, 'roll': 37, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 3510, 'pitch': 21, 'roll': 37, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -7}
2024-07-12 19:29:41 {'yaw': 3506, 'pitch': 21, 'roll': 38, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3506, 'pitch': 21, 'roll': 38, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3501, 'pitch': 21, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 1, 'z_acceleration': 1}
2024-07-12 19:29:41 {'yaw': 3497, 'pitch': 21, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 3497, 'pitch': 21, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': 0}
2024-07-12 19:29:41 {'yaw': 3492, 'pitch': 21, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': -1}
2024-07-12 19:29:41 {'yaw': 3492, 'pitch': 21, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': -1}
2024-07-12 19:29:41 {'yaw': 3488, 'pitch': 20, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:29:41 {'yaw': 3483, 'pitch': 20, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:29:41 {'yaw': 3483, 'pitch': 20, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:29:41 {'yaw': 3478, 'pitch': 20, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -11}
2024-07-12 19:29:41 {'yaw': 3478, 'pitch': 20, 'roll': 38, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -11}
2024-07-12 19:29:41 {'yaw': 3474, 'pitch': 20, 'roll': 39, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:29:41 {'yaw': 3469, 'pitch': 20, 'roll': 38, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -1}
2024-07-12 19:29:41 {'yaw': 3469, 'pitch': 20, 'roll': 38, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -1}
2024-07-12 19:29:41 {'yaw': 3464, 'pitch': 20, 'roll': 38, 'x_acceleration': 2, 'y_acceleration': -3, 'z_acceleration': 1}
2024-07-12 19:29:41 {'yaw': 3464, 'pitch': 20, 'roll': 38, 'x_acceleration': 2, 'y_acceleration': -3, 'z_acceleration': 1}
2024-07-12 19:29:41 {'yaw': 3459, 'pitch': 20, 'roll': 38, 'x_acceleration': 0, 'y_acceleration': -3, 'z_acceleration': 3}
2024-07-12 19:29:41 {'yaw': 3454, 'pitch': 21, 'roll': 38, 'x_acceleration': -3, 'y_acceleration': -2, 'z_acceleration': 4}
2024-07-12 19:29:41 {'yaw': 3454, 'pitch': 21, 'roll': 38, 'x_acceleration': -3, 'y_acceleration': -2, 'z_acceleration': 4}
2024-07-12 19:29:41 {'yaw': 3450, 'pitch': 21, 'roll': 39, 'x_acceleration': -6, 'y_acceleration': 1, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 3450, 'pitch': 21, 'roll': 39, 'x_acceleration': -6, 'y_acceleration': 1, 'z_acceleration': -3}
2024-07-12 19:29:41 {'yaw': 3445, 'pitch': 21, 'roll': 40, 'x_acceleration': -4, 'y_acceleration': 0, 'z_acceleration': -13}
2024-07-12 19:29:41 {'yaw': 3440, 'pitch': 20, 'roll': 40, 'x_acceleration': -2, 'y_acceleration': -2, 'z_acceleration': -18}
2024-07-12 19:29:41 {'yaw': 3440, 'pitch': 20, 'roll': 40, 'x_acceleration': -2, 'y_acceleration': -2, 'z_acceleration': -18}
2024-07-12 19:29:41 {'yaw': 3436, 'pitch': 20, 'roll': 41, 'x_acceleration': 0, 'y_acceleration': -6, 'z_acceleration': -12}
2024-07-12 19:29:41 {'yaw': 3436, 'pitch': 20, 'roll': 41, 'x_acceleration': 0, 'y_acceleration': -6, 'z_acceleration': -12}
2024-07-12 19:29:41 {'yaw': 3431, 'pitch': 20, 'roll': 41, 'x_acceleration': 0, 'y_acceleration': -3, 'z_acceleration': -5}
2024-07-12 19:29:41 {'yaw': 3426, 'pitch': 20, 'roll': 41, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -2}
