2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:19:14 {'yaw': 1, 'pitch': 20, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:19:14 {'yaw': 3, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:19:14 {'yaw': 3, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:19:14 {'yaw': 4, 'pitch': 20, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:19:14 {'yaw': 4, 'pitch': 20, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:19:14 {'yaw': 5, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:19:14 {'yaw': 5, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -5}
2024-07-12 19:19:15 {'yaw': 7, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -5}
2024-07-12 19:19:15 {'yaw': 8, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:19:15 {'yaw': 8, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:19:15 {'yaw': 8, 'pitch': 20, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:19:15 {'yaw': 8, 'pitch': 20, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:19:15 {'yaw': 6, 'pitch': 20, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:19:15 {'yaw': 6, 'pitch': 20, 'roll': 31, 'x_acceleration': 6, 'y_acceleration': -1, 'z_acceleration': 0}
2024-07-12 19:19:15 {'yaw': 5, 'pitch': 20, 'roll': 32, 'x_acceleration': 6, 'y_acceleration': -1, 'z_acceleration': 0}
2024-07-12 19:19:15 {'yaw': 4, 'pitch': 20, 'roll': 32, 'x_acceleration': 4, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:19:15 {'yaw': 4, 'pitch': 20, 'roll': 32, 'x_acceleration': 4, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:19:15 {'yaw': 2, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -7}
2024-07-12 19:19:15 {'yaw': 0, 'pitch': 20, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -4}
2024-07-12 19:19:15 {'yaw': 0, 'pitch': 20, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -4}
2024-07-12 19:19:15 {'yaw': 3597, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -3}
2024-07-12 19:19:15 {'yaw': 3597, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -3}
2024-07-12 19:19:15 {'yaw': 3595, 'pitch': 20, 'roll': 32, 'x_acceleration': 2, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-12 19:19:15 {'yaw': 3592, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -7}
