2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:57 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:58 {'yaw': 1, 'pitch': 20, 'roll': 32, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 1, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -12}
2024-07-12 19:16:58 {'yaw': 2, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -12}
2024-07-12 19:16:58 {'yaw': 4, 'pitch': 20, 'roll': 32, 'x_acceleration': -4, 'y_acceleration': 2, 'z_acceleration': -1}
2024-07-12 19:16:58 {'yaw': 4, 'pitch': 20, 'roll': 32, 'x_acceleration': -4, 'y_acceleration': 2, 'z_acceleration': -1}
2024-07-12 19:16:58 {'yaw': 5, 'pitch': 20, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': 3, 'z_acceleration': -4}
2024-07-12 19:16:58 {'yaw': 7, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 6, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 7, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 6, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 8, 'pitch': 20, 'roll': 32, 'x_acceleration': 4, 'y_acceleration': 3, 'z_acceleration': -10}
2024-07-12 19:16:58 {'yaw': 8, 'pitch': 20, 'roll': 32, 'x_acceleration': 4, 'y_acceleration': 3, 'z_acceleration': -10}
2024-07-12 19:16:58 {'yaw': 7, 'pitch': 20, 'roll': 32, 'x_acceleration': 6, 'y_acceleration': 2, 'z_acceleration': -10}
2024-07-12 19:16:58 {'yaw': 6, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -1}
2024-07-12 19:16:58 {'yaw': 6, 'pitch': 20, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -1}
2024-07-12 19:16:58 {'yaw': 5, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -1}
2024-07-12 19:16:58 {'yaw': 5, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -1}
2024-07-12 19:16:58 {'yaw': 3, 'pitch': 20, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': -4, 'z_acceleration': 0}
2024-07-12 19:16:58 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:16:58 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:16:58 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -3, 'z_acceleration': -4}
2024-07-12 19:16:58 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -3, 'z_acceleration': -4}
2024-07-12 19:16:58 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 2, 'y_acceleration': -4, 'z_acceleration': -5}
2024-07-12 19:16:58 {'yaw': 3596, 'pitch': 19, 'roll': 33, 'x_acceleration': 2, 'y_acceleration': -4, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 3596, 'pitch': 19, 'roll': 33, 'x_acceleration': 2, 'y_acceleration': -4, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 3593, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 3593, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 3591, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': -3, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 3591, 'pitch': 20, 'roll': 33, 'x_acceleration': -4, 'y_acceleration': 3, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 3590, 'pitch': 20, 'roll': 33, 'x_acceleration': -4, 'y_acceleration': 3, 'z_acceleration': -6}
2024-07-12 19:16:58 {'yaw': 3589, 'pitch': 20, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:58 {'yaw': 3589, 'pitch': 20, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:16:58 {'yaw': 3588, 'pitch': 20, 'roll': 34, 'x_acceleration': 6, 'y_acceleration': -2, 'z_acceleration': -7}
2024-07-12 19:16:58 {'yaw': 3586, 'pitch': 20, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': -1, 'z_acceleration': -9}
2024-07-12 19:16:58 {'yaw': 3586, 'pitch': 20, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': -1, 'z_acceleration': -9}
