2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': -2, 'z_acceleration': -7}
2024-07-12 19:28:55 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -6}
2024-07-12 19:28:55 {'yaw': 1, 'pitch': 19, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -6}
2024-07-12 19:28:55 {'yaw': 3, 'pitch': 20, 'roll': 32, 'x_acceleration': -4, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-12 19:28:55 {'yaw': 3, 'pitch': 20, 'roll': 32, 'x_acceleration': -4, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-12 19:28:55 {'yaw': 5, 'pitch': 20, 'roll': 32, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-12 19:28:55 {'yaw': 6, 'pitch': 20, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-12 19:28:55 {'yaw': 6, 'pitch': 20, 'roll': 32, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-12 19:28:55 {'yaw': 9, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:28:55 {'yaw': 9, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:28:55 {'yaw': 10, 'pitch': 20, 'roll': 32, 'x_acceleration': 3, 'y_acceleration': 6, 'z_acceleration': -4}
2024-07-12 19:28:55 {'yaw': 11, 'pitch': 20, 'roll': 32, 'x_acceleration': 4, 'y_acceleration': 4, 'z_acceleration': -7}
2024-07-12 19:28:55 {'yaw': 11, 'pitch': 20, 'roll': 32, 'x_acceleration': 4, 'y_acceleration': 4, 'z_acceleration': -7}
2024-07-12 19:28:55 {'yaw': 11, 'pitch': 20, 'roll': 32, 'x_acceleration': 6, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:28:55 {'yaw': 11, 'pitch': 20, 'roll': 32, 'x_acceleration': 6, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:28:55 {'yaw': 10, 'pitch': 20, 'roll': 32, 'x_acceleration': 2, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:28:55 {'yaw': 8, 'pitch': 19, 'roll': 33, 'x_acceleration': 3, 'y_acceleration': -1, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 8, 'pitch': 19, 'roll': 33, 'x_acceleration': 3, 'y_acceleration': -1, 'z_acceleration': 0}
2024-07-12 19:28:55 {'yaw': 7, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:28:55 {'yaw': 7, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:28:55 {'yaw': 5, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:28:55 {'yaw': 3, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:28:55 {'yaw': 3, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:28:56 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:28:56 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:28:56 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:28:56 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:28:56 {'yaw': 3595, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:28:56 {'yaw': 3593, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:28:56 {'yaw': 3593, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:28:56 {'yaw': 3590, 'pitch': 20, 'roll': 33, 'x_acceleration': 3, 'y_acceleration': -2, 'z_acceleration': -7}
2024-07-12 19:28:56 {'yaw': 3590, 'pitch': 20, 'roll': 33, 'x_acceleration': 3, 'y_acceleration': -2, 'z_acceleration': -7}
2024-07-12 19:28:56 {'yaw': 3588, 'pitch': 20, 'roll': 33, 'x_acceleration': -7, 'y_acceleration': 0, 'z_acceleration': -1}
2024-07-12 19:28:56 {'yaw': 3586, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:28:56 {'yaw': 3586, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:28:56 {'yaw': 3584, 'pitch': 20, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': 5, 'z_acceleration': -4}
2024-07-12 19:28:56 {'yaw': 3584, 'pitch': 20, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': 5, 'z_acceleration': -4}
2024-07-12 19:28:56 {'yaw': 3582, 'pitch': 20, 'roll': 33, 'x_acceleration': -3, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:28:56 {'yaw': 3580, 'pitch': 20, 'roll': 33, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:56 {'yaw': 3580, 'pitch': 20, 'roll': 33, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:28:56 {'yaw': 3576, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': -3, 'z_acceleration': -2}
2024-07-12 19:28:56 {'yaw': 3576, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': -3, 'z_acceleration': -2}
2024-07-12 19:28:56 {'yaw': 3574, 'pitch': 20, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-12 19:28:56 {'yaw': 3574, 'pitch': 20, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:28:56 {'yaw': 3571, 'pitch': 20, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:28:56 {'yaw': 3568, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:28:56 {'yaw': 3568, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:28:56 {'yaw': 3565, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:28:56 {'yaw': 3562, 'pitch': 20, 'roll': 35, 'x_acceleration': -2, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-12 19:28:56 {'yaw': 3562, 'pitch': 20, 'roll': 35, 'x_acceleration': -2, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-12 19:28:56 {'yaw': 3559, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:28:56 {'yaw': 3559, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:28:56 {'yaw': 3556, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -8}
