2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:27:41 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:27:41 {'yaw': 3, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': -3, 'z_acceleration': -4}
2024-07-12 19:27:41 {'yaw': 3, 'pitch': 20, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': -3, 'z_acceleration': -4}
2024-07-12 19:27:41 {'yaw': 4, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -3}
2024-07-12 19:27:41 {'yaw': 4, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -3}
2024-07-12 19:27:41 {'yaw': 5, 'pitch': 20, 'roll': 33, 'x_acceleration': 2, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:27:41 {'yaw': 7, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 5, 'z_acceleration': -11}
2024-07-12 19:27:41 {'yaw': 7, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 5, 'z_acceleration': -11}
2024-07-12 19:27:41 {'yaw': 8, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 3, 'z_acceleration': -5}
2024-07-12 19:27:41 {'yaw': 8, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 3, 'z_acceleration': -5}
2024-07-12 19:27:41 {'yaw': 8, 'pitch': 20, 'roll': 33, 'x_acceleration': 3, 'y_acceleration': 4, 'z_acceleration': -7}
2024-07-12 19:27:41 {'yaw': 6, 'pitch': 20, 'roll': 33, 'x_acceleration': 4, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:27:41 {'yaw': 6, 'pitch': 20, 'roll': 33, 'x_acceleration': 4, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:27:41 {'yaw': 5, 'pitch': 20, 'roll': 33, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:27:41 {'yaw': 5, 'pitch': 20, 'roll': 33, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:27:41 {'yaw': 4, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:27:41 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:27:41 {'yaw': 1, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -1}
2024-07-12 19:27:41 {'yaw': 0, 'pitch': 20, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -1}
2024-07-12 19:27:41 {'yaw': 3597, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -3}
2024-07-12 19:27:41 {'yaw': 3594, 'pitch': 19, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:27:41 {'yaw': 3594, 'pitch': 19, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -4}
2024-07-12 19:27:41 {'yaw': 3591, 'pitch': 19, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:27:41 {'yaw': 3591, 'pitch': 19, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:27:41 {'yaw': 3589, 'pitch': 19, 'roll': 34, 'x_acceleration': -2, 'y_acceleration': -8, 'z_acceleration': -4}
2024-07-12 19:27:41 {'yaw': 3589, 'pitch': 19, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:27:41 {'yaw': 3587, 'pitch': 19, 'roll': 35, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:27:41 {'yaw': 3586, 'pitch': 19, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:27:42 {'yaw': 3586, 'pitch': 19, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:27:42 {'yaw': 3585, 'pitch': 20, 'roll': 35, 'x_acceleration': 4, 'y_acceleration': -4, 'z_acceleration': -2}
2024-07-12 19:27:42 {'yaw': 3583, 'pitch': 20, 'roll': 35, 'x_acceleration': 4, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:27:42 {'yaw': 3583, 'pitch': 20, 'roll': 35, 'x_acceleration': 4, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:27:42 {'yaw': 3580, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:27:42 {'yaw': 3580, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:27:42 {'yaw': 3578, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:27:42 {'yaw': 3575, 'pitch': 20, 'roll': 35, 'x_acceleration': 3, 'y_acceleration': -3, 'z_acceleration': -3}
2024-07-12 19:27:42 {'yaw': 3575, 'pitch': 20, 'roll': 35, 'x_acceleration': 3, 'y_acceleration': -3, 'z_acceleration': -3}
2024-07-12 19:27:42 {'yaw': 3573, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:27:42 {'yaw': 3573, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:27:42 {'yaw': 3570, 'pitch': 21, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:27:42 {'yaw': 3570, 'pitch': 21, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:27:42 {'yaw': 3567, 'pitch': 21, 'roll': 36, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:27:42 {'yaw': 3564, 'pitch': 21, 'roll': 36, 'x_acceleration': -3, 'y_acceleration': 3, 'z_acceleration': 0}
2024-07-12 19:27:42 {'yaw': 3564, 'pitch': 21, 'roll': 36, 'x_acceleration': -3, 'y_acceleration': 3, 'z_acceleration': 0}
2024-07-12 19:27:42 {'yaw': 3561, 'pitch': 21, 'roll': 36, 'x_acceleration': -4, 'y_acceleration': 3, 'z_acceleration': 4}
2024-07-12 19:27:42 {'yaw': 3561, 'pitch': 21, 'roll': 36, 'x_acceleration': -4, 'y_acceleration': 3, 'z_acceleration': 4}
2024-07-12 19:27:42 {'yaw': 3558, 'pitch': 21, 'roll': 36, 'x_acceleration': -5, 'y_acceleration': 2, 'z_acceleration': 2}
2024-07-12 19:27:42 {'yaw': 3555, 'pitch': 21, 'roll': 36, 'x_acceleration': -5, 'y_acceleration': -1, 'z_acceleration': -10}
2024-07-12 19:27:42 {'yaw': 3555, 'pitch': 21, 'roll': 36, 'x_acceleration': -5, 'y_acceleration': -1, 'z_acceleration': -10}
2024-07-12 19:27:42 {'yaw': 3551, 'pitch': 20, 'roll': 36, 'x_acceleration': -4, 'y_acceleration': -2, 'z_acceleration': -11}
