2024-07-12 19:12:56 {'yaw': 5, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:12:56 {'yaw': 7, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 7, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 9, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-12 19:12:56 {'yaw': 9, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-12 19:12:56 {'yaw': 10, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 5, 'z_acceleration': -3}
2024-07-12 19:12:56 {'yaw': 10, 'pitch': 20, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': 7, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 11, 'pitch': 20, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': 7, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 10, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 4, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 10, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 4, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 9, 'pitch': 20, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 8, 'pitch': 19, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': -1, 'z_acceleration': 1}
2024-07-12 19:12:56 {'yaw': 8, 'pitch': 19, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': -1, 'z_acceleration': 1}
2024-07-12 19:12:56 {'yaw': 6, 'pitch': 19, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 6, 'pitch': 19, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 4, 'pitch': 19, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 1, 'pitch': 19, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 1, 'pitch': 19, 'roll': 32, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 3599, 'pitch': 19, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3599, 'pitch': 19, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3596, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3596, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 3594, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 3591, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 3591, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 3588, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3588, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3585, 'pitch': 19, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:12:56 {'yaw': 3585, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3582, 'pitch': 19, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3579, 'pitch': 19, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 2, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3579, 'pitch': 19, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': 2, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3575, 'pitch': 19, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3575, 'pitch': 19, 'roll': 33, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3572, 'pitch': 19, 'roll': 33, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -3}
2024-07-12 19:12:56 {'yaw': 3568, 'pitch': 19, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': -4, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3568, 'pitch': 19, 'roll': 34, 'x_acceleration': -1, 'y_acceleration': -4, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3565, 'pitch': 19, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -3}
2024-07-12 19:12:56 {'yaw': 3565, 'pitch': 19, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': -4, 'z_acceleration': -3}
2024-07-12 19:12:56 {'yaw': 3561, 'pitch': 19, 'roll': 35, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 3557, 'pitch': 19, 'roll': 35, 'x_acceleration': 3, 'y_acceleration': 0, 'z_acceleration': -9}
2024-07-12 19:12:56 {'yaw': 3557, 'pitch': 19, 'roll': 35, 'x_acceleration': 3, 'y_acceleration': 0, 'z_acceleration': -9}
2024-07-12 19:12:56 {'yaw': 3553, 'pitch': 20, 'roll': 35, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 3553, 'pitch': 20, 'roll': 35, 'x_acceleration': 2, 'y_acceleration': 0, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 3550, 'pitch': 20, 'roll': 35, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 3546, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3546, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3541, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3541, 'pitch': 20, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 1, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3537, 'pitch': 20, 'roll': 35, 'x_acceleration': -2, 'y_acceleration': 2, 'z_acceleration': -2}
2024-07-12 19:12:56 {'yaw': 3533, 'pitch': 20, 'roll': 35, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': 1}
2024-07-12 19:12:56 {'yaw': 3533, 'pitch': 20, 'roll': 35, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': 1}
2024-07-12 19:12:56 {'yaw': 3529, 'pitch': 20, 'roll': 35, 'x_acceleration': -4, 'y_acceleration': -2, 'z_acceleration': -2}
2024-07-12 19:12:56 {'yaw': 3529, 'pitch': 20, 'roll': 35, 'x_acceleration': -4, 'y_acceleration': -2, 'z_acceleration': -2}
2024-07-12 19:12:56 {'yaw': 3525, 'pitch': 20, 'roll': 36, 'x_acceleration': -2, 'y_acceleration': -4, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 3520, 'pitch': 20, 'roll': 36, 'x_acceleration': 0, 'y_acceleration': -6, 'z_acceleration': -11}
2024-07-12 19:12:56 {'yaw': 3520, 'pitch': 20, 'roll': 36, 'x_acceleration': 0, 'y_acceleration': -6, 'z_acceleration': -11}
2024-07-12 19:12:56 {'yaw': 3516, 'pitch': 20, 'roll': 37, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 3516, 'pitch': 20, 'roll': 37, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 3511, 'pitch': 20, 'roll': 37, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3507, 'pitch': 20, 'roll': 37, 'x_acceleration': 0, 'y_acceleration': 3, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3507, 'pitch': 20, 'roll': 37, 'x_acceleration': 0, 'y_acceleration': 3, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3503, 'pitch': 20, 'roll': 37, 'x_acceleration': 0, 'y_acceleration': 5, 'z_acceleration': 0}
2024-07-12 19:12:56 {'yaw': 3503, 'pitch': 20, 'roll': 37, 'x_acceleration': 0, 'y_acceleration': 5, 'z_acceleration': 0}
2024-07-12 19:12:56 {'yaw': 3498, 'pitch': 20, 'roll': 37, 'x_acceleration': -1, 'y_acceleration': 3, 'z_acceleration': -7}
2024-07-12 19:12:56 {'yaw': 3493, 'pitch': 20, 'roll': 37, 'x_acceleration': -2, 'y_acceleration': 1, 'z_acceleration': -12}
2024-07-12 19:12:56 {'yaw': 3493, 'pitch': 20, 'roll': 37, 'x_acceleration': -2, 'y_acceleration': 1, 'z_acceleration': -12}
2024-07-12 19:12:56 {'yaw': 3489, 'pitch': 19, 'roll': 37, 'x_acceleration': -4, 'y_acceleration': -1, 'z_acceleration': -9}
2024-07-12 19:12:56 {'yaw': 3489, 'pitch': 19, 'roll': 37, 'x_acceleration': -4, 'y_acceleration': -1, 'z_acceleration': -9}
2024-07-12 19:12:56 {'yaw': 3484, 'pitch': 19, 'roll': 37, 'x_acceleration': -1, 'y_acceleration': -6, 'z_acceleration': 2}
2024-07-12 19:12:56 {'yaw': 3480, 'pitch': 19, 'roll': 38, 'x_acceleration': 1, 'y_acceleration': -5, 'z_acceleration': 2}
2024-07-12 19:12:56 {'yaw': 3480, 'pitch': 19, 'roll': 38, 'x_acceleration': 1, 'y_acceleration': -5, 'z_acceleration': 2}
2024-07-12 19:12:56 {'yaw': 3475, 'pitch': 19, 'roll': 38, 'x_acceleration': 3, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3475, 'pitch': 19, 'roll': 38, 'x_acceleration': 3, 'y_acceleration': -2, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3470, 'pitch': 20, 'roll': 38, 'x_acceleration': 4, 'y_acceleration': -1, 'z_acceleration': -12}
2024-07-12 19:12:56 {'yaw': 3466, 'pitch': 20, 'roll': 39, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:12:56 {'yaw': 3466, 'pitch': 20, 'roll': 39, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:12:56 {'yaw': 3461, 'pitch': 20, 'roll': 39, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3461, 'pitch': 20, 'roll': 39, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3456, 'pitch': 21, 'roll': 39, 'x_acceleration': -5, 'y_acceleration': 1, 'z_acceleration': 4}
2024-07-12 19:12:56 {'yaw': 3451, 'pitch': 21, 'roll': 39, 'x_acceleration': -7, 'y_acceleration': 2, 'z_acceleration': 7}
2024-07-12 19:12:56 {'yaw': 3451, 'pitch': 21, 'roll': 39, 'x_acceleration': -7, 'y_acceleration': 2, 'z_acceleration': 7}
2024-07-12 19:12:56 {'yaw': 3446, 'pitch': 20, 'roll': 40, 'x_acceleration': -4, 'y_acceleration': -1, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 3446, 'pitch': 20, 'roll': 40, 'x_acceleration': -4, 'y_acceleration': -1, 'z_acceleration': -8}
2024-07-12 19:12:56 {'yaw': 3442, 'pitch': 20, 'roll': 40, 'x_acceleration': -3, 'y_acceleration': -4, 'z_acceleration': -15}
2024-07-12 19:12:56 {'yaw': 3437, 'pitch': 20, 'roll': 41, 'x_acceleration': -1, 'y_acceleration': -5, 'z_acceleration': -15}
2024-07-12 19:12:56 {'yaw': 3437, 'pitch': 20, 'roll': 41, 'x_acceleration': -1, 'y_acceleration': -5, 'z_acceleration': -15}
2024-07-12 19:12:56 {'yaw': 3433, 'pitch': 20, 'roll': 41, 'x_acceleration': -1, 'y_acceleration': -3, 'z_acceleration': -11}
2024-07-12 19:12:56 {'yaw': 3433, 'pitch': 20, 'roll': 41, 'x_acceleration': -1, 'y_acceleration': -3, 'z_acceleration': -11}
2024-07-12 19:12:56 {'yaw': 3428, 'pitch': 20, 'roll': 41, 'x_acceleration': 2, 'y_acceleration': 3, 'z_acceleration': 3}
2024-07-12 19:12:56 {'yaw': 3423, 'pitch': 20, 'roll': 41, 'x_acceleration': 1, 'y_acceleration': 6, 'z_acceleration': 4}
2024-07-12 19:12:56 {'yaw': 3423, 'pitch': 20, 'roll': 41, 'x_acceleration': 1, 'y_acceleration': 6, 'z_acceleration': 4}
2024-07-12 19:12:56 {'yaw': 3418, 'pitch': 20, 'roll': 41, 'x_acceleration': 0, 'y_acceleration': 6, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3418, 'pitch': 20, 'roll': 41, 'x_acceleration': 0, 'y_acceleration': 6, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3414, 'pitch': 20, 'roll': 41, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': -18}
2024-07-12 19:12:56 {'yaw': 3409, 'pitch': 20, 'roll': 41, 'x_acceleration': -5, 'y_acceleration': -1, 'z_acceleration': -14}
2024-07-12 19:12:56 {'yaw': 3409, 'pitch': 20, 'roll': 41, 'x_acceleration': -5, 'y_acceleration': -1, 'z_acceleration': -14}
2024-07-12 19:12:56 {'yaw': 3404, 'pitch': 19, 'roll': 41, 'x_acceleration': -3, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 3404, 'pitch': 19, 'roll': 41, 'x_acceleration': -3, 'y_acceleration': -1, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 3399, 'pitch': 19, 'roll': 42, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': 3}
2024-07-12 19:12:56 {'yaw': 3394, 'pitch': 19, 'roll': 43, 'x_acceleration': 2, 'y_acceleration': -4, 'z_acceleration': 4}
2024-07-12 19:12:56 {'yaw': 3394, 'pitch': 19, 'roll': 43, 'x_acceleration': 2, 'y_acceleration': -4, 'z_acceleration': 4}
2024-07-12 19:12:56 {'yaw': 3390, 'pitch': 20, 'roll': 43, 'x_acceleration': 3, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3390, 'pitch': 20, 'roll': 43, 'x_acceleration': 3, 'y_acceleration': -1, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3385, 'pitch': 20, 'roll': 43, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -12}
2024-07-12 19:12:56 {'yaw': 3385, 'pitch': 20, 'roll': 43, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -15}
2024-07-12 19:12:56 {'yaw': 3380, 'pitch': 20, 'roll': 43, 'x_acceleration': 0, 'y_acceleration': 2, 'z_acceleration': -15}
2024-07-12 19:12:56 {'yaw': 3375, 'pitch': 21, 'roll': 43, 'x_acceleration': -4, 'y_acceleration': 3, 'z_acceleration': -2}
2024-07-12 19:12:56 {'yaw': 3375, 'pitch': 21, 'roll': 43, 'x_acceleration': -4, 'y_acceleration': 3, 'z_acceleration': -2}
2024-07-12 19:12:56 {'yaw': 3370, 'pitch': 21, 'roll': 43, 'x_acceleration': -7, 'y_acceleration': 2, 'z_acceleration': 5}
2024-07-12 19:12:56 {'yaw': 3365, 'pitch': 20, 'roll': 43, 'x_acceleration': -7, 'y_acceleration': 0, 'z_acceleration': 4}
2024-07-12 19:12:56 {'yaw': 3365, 'pitch': 20, 'roll': 43, 'x_acceleration': -7, 'y_acceleration': 0, 'z_acceleration': 4}
2024-07-12 19:12:56 {'yaw': 3360, 'pitch': 20, 'roll': 45, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3360, 'pitch': 20, 'roll': 45, 'x_acceleration': -5, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:12:56 {'yaw': 3355, 'pitch': 20, 'roll': 45, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -10}
2024-07-12 19:12:56 {'yaw': 3350, 'pitch': 20, 'roll': 45, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 3350, 'pitch': 20, 'roll': 45, 'x_acceleration': 1, 'y_acceleration': 1, 'z_acceleration': -6}
2024-07-12 19:12:56 {'yaw': 3345, 'pitch': 20, 'roll': 45, 'x_acceleration': 2, 'y_acceleration': 2, 'z_acceleration': 0}
2024-07-12 19:12:56 {'yaw': 3345, 'pitch': 20, 'roll': 45, 'x_acceleration': 2, 'y_acceleration': 2, 'z_acceleration': 0}
2024-07-12 19:12:56 {'yaw': 3340, 'pitch': 20, 'roll': 45, 'x_acceleration': -4, 'y_acceleration': 2, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3336, 'pitch': 20, 'roll': 45, 'x_acceleration': -6, 'y_acceleration': 2, 'z_acceleration': -9}
2024-07-12 19:12:56 {'yaw': 3336, 'pitch': 20, 'roll': 45, 'x_acceleration': -6, 'y_acceleration': 2, 'z_acceleration': -9}
2024-07-12 19:12:56 {'yaw': 3331, 'pitch': 19, 'roll': 45, 'x_acceleration': -4, 'y_acceleration': 0, 'z_acceleration': -11}
2024-07-12 19:12:56 {'yaw': 3331, 'pitch': 19, 'roll': 45, 'x_acceleration': -4, 'y_acceleration': 0, 'z_acceleration': -11}
2024-07-12 19:12:56 {'yaw': 3326, 'pitch': 19, 'roll': 46, 'x_acceleration': -4, 'y_acceleration': 0, 'z_acceleration': -11}
2024-07-12 19:12:56 {'yaw': 3321, 'pitch': 18, 'roll': 46, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3321, 'pitch': 18, 'roll': 46, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:12:56 {'yaw': 3316, 'pitch': 18, 'roll': 46, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3316, 'pitch': 18, 'roll': 46, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -1}
2024-07-12 19:12:56 {'yaw': 3311, 'pitch': 18, 'roll': 46, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': 2}
