2024-07-07 17:15:07 {'temperature': 2850, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2850, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2875, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2875, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 3000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 3000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 2975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 3050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 3050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 3050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:07 {'temperature': 3025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:08 {'temperature': 3025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:08 {'temperature': 3025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:08 {'temperature': 3050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:08 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:09 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:09 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:09 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:09 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:10 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:10 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:10 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:10 {'temperature': 3125, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:11 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:11 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:11 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:11 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:12 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:12 {'temperature': 3050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:12 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:12 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:13 {'temperature': 3050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:13 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:13 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:13 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:14 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:14 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:14 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:14 {'temperature': 3100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:15:15 {'temperature': 3075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
