2024-07-07 17:39:24 {'temperature': 13325, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13350, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13300, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13275, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13250, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 13025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12850, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12850, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12825, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12775, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12750, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12675, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12650, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:39:24 {'temperature': 12600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
